IdDistrito,Distrito,IdCargo,Cargo,idAgrupacion,Agrupacion,idLista,lista
2.0,Buenos Aires,3.0,DIPUTADOS NACIONALES,323.0,JUSTICIA Y DIGNIDAD PATRIOTICA,1.0,JUSTICIA Y DIGNIDAD
2.0,Buenos Aires,3.0,DIPUTADOS NACIONALES,324.0,ESPERANZA DEL PUEBLO,1.0,ESPERANZA
2.0,Buenos Aires,3.0,DIPUTADOS NACIONALES,501.0,+ VALORES,1.0,+ VALORES
2.0,Buenos Aires,3.0,DIPUTADOS NACIONALES,502.0,"PROYECTO JUSTO,SOCIAL Y HUMANISTA",1.0,NARANJA 1
2.0,Buenos Aires,3.0,DIPUTADOS NACIONALES,503.0,AVANZA LIBERTAD,2.0,LIBERTAD
2.0,Buenos Aires,3.0,DIPUTADOS NACIONALES,504.0,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,2.0,UNIDAD DE LA IZQUIERDA
2.0,Buenos Aires,3.0,DIPUTADOS NACIONALES,504.0,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,1.0,(R)EVOLUCIONEMOS LA IZQUIERDA
2.0,Buenos Aires,3.0,DIPUTADOS NACIONALES,505.0,FRENTE UNION POR EL FUTURO,1.0,AZUL
2.0,Buenos Aires,3.0,DIPUTADOS NACIONALES,505.0,FRENTE UNION POR EL FUTURO,2.0,BLANCA
2.0,Buenos Aires,3.0,DIPUTADOS NACIONALES,506.0,JUNTOS,6.0,ES JUNTOS
2.0,Buenos Aires,3.0,DIPUTADOS NACIONALES,506.0,JUNTOS,5.0,DAR EL PASO
2.0,Buenos Aires,3.0,DIPUTADOS NACIONALES,507.0,FRENTE DE TODOS,3.0,CELESTE Y BLANCA
2.0,Buenos Aires,3.0,DIPUTADOS NACIONALES,508.0,FRENTE VAMOS CON VOS,2.0,HAY OTRO CAMINO
2.0,Buenos Aires,6.0,DIPUTADOS PROVINCIALES,,,,
2.0,Buenos Aires,6.0,DIPUTADOS PROVINCIALES,8.0,FEDERAL,2.0,CELESTE Y BLANCA
2.0,Buenos Aires,6.0,DIPUTADOS PROVINCIALES,19.0,CONSERVADOR POPULAR,1.0,UNICA
2.0,Buenos Aires,6.0,DIPUTADOS PROVINCIALES,255.0,MOVIMIENTO AL SOCIALISMO,1.0,PARA RENOVAR A LA IZQUIERDA
2.0,Buenos Aires,6.0,DIPUTADOS PROVINCIALES,258.0,CORRIENTE DE PENSAMIENTO BONAERENSE,1.0,CORRIENTE DE PENSAMIENTO AUTENTICA
2.0,Buenos Aires,6.0,DIPUTADOS PROVINCIALES,298.0,TODOS POR BUENOS AIRES,1.0,TODOS POR LA PROVINCIA
2.0,Buenos Aires,6.0,DIPUTADOS PROVINCIALES,312.0,FRENTE PATRIOTA,2.0,PRIMERO LA PATRIA
2.0,Buenos Aires,6.0,DIPUTADOS PROVINCIALES,314.0,REPUBLICANO FEDERAL,2.0,PRINCIPIOS Y VALORES
2.0,Buenos Aires,6.0,DIPUTADOS PROVINCIALES,317.0,VOCACION SOCIAL,2.0,UNITE POR BUENOS AIRES
2.0,Buenos Aires,6.0,DIPUTADOS PROVINCIALES,317.0,VOCACION SOCIAL,1.0,RENACER
2.0,Buenos Aires,6.0,DIPUTADOS PROVINCIALES,27.0,UNION CELESTE Y BLANCO,2.0,+ VALORES
2.0,Buenos Aires,6.0,DIPUTADOS PROVINCIALES,504.0,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,2.0,UNIDAD DE LA IZQUIERDA
2.0,Buenos Aires,6.0,DIPUTADOS PROVINCIALES,504.0,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,1.0,(R)EVOLUCIONEMOS LA IZQUIERDA
2.0,Buenos Aires,6.0,DIPUTADOS PROVINCIALES,112.0,UNION POR TODOS,1.0,UNIDAD
2.0,Buenos Aires,6.0,DIPUTADOS PROVINCIALES,506.0,JUNTOS,1.0,A
2.0,Buenos Aires,6.0,DIPUTADOS PROVINCIALES,506.0,JUNTOS,5.0,DAR EL PASO
2.0,Buenos Aires,6.0,DIPUTADOS PROVINCIALES,507.0,FRENTE DE TODOS,5.0,CELESTE Y BLANCA 2
2.0,Buenos Aires,6.0,DIPUTADOS PROVINCIALES,508.0,FRENTE VAMOS CON VOS,2.0,HAY OTRO CAMINO
2.0,Buenos Aires,6.0,DIPUTADOS PROVINCIALES,766.0,RENOVADOR FEDERAL,1.0,SOMOS RENOVADORES
2.0,Buenos Aires,6.0,DIPUTADOS PROVINCIALES,864.0,MOVIMIENTO ORGANIZACION DEMOCRATICA,1.0,CREER
2.0,Buenos Aires,7.0,CONCEJALES,,,,
2.0,Buenos Aires,7.0,CONCEJALES,317.0,VOCACION SOCIAL,2.0,UNITE POR BUENOS AIRES
2.0,Buenos Aires,7.0,CONCEJALES,112.0,UNION POR TODOS,1.0,UNIDAD
2.0,Buenos Aires,7.0,CONCEJALES,506.0,JUNTOS,1.0,A
2.0,Buenos Aires,7.0,CONCEJALES,506.0,JUNTOS,5.0,DAR EL PASO
2.0,Buenos Aires,7.0,CONCEJALES,507.0,FRENTE DE TODOS,5.0,CELESTE Y BLANCA 2
2.0,Buenos Aires,7.0,CONCEJALES,508.0,FRENTE VAMOS CON VOS,2.0,HAY OTRO CAMINO
2.0,Buenos Aires,3.0,DIPUTADOS NACIONALES,,,,
2.0,Buenos Aires,3.0,DIPUTADOS NACIONALES,8.0,FEDERAL,2.0,CELESTE Y BLANCA
2.0,Buenos Aires,3.0,DIPUTADOS NACIONALES,19.0,CONSERVADOR POPULAR,1.0,UNICA
2.0,Buenos Aires,3.0,DIPUTADOS NACIONALES,255.0,MOVIMIENTO AL SOCIALISMO,1.0,PARA RENOVAR A LA IZQUIERDA
2.0,Buenos Aires,3.0,DIPUTADOS NACIONALES,258.0,CORRIENTE DE PENSAMIENTO BONAERENSE,1.0,CORRIENTE DE PENSAMIENTO AUTENTICA
2.0,Buenos Aires,3.0,DIPUTADOS NACIONALES,275.0,VERDE,1.0,VERDE Y SOCIAL
2.0,Buenos Aires,3.0,DIPUTADOS NACIONALES,292.0,POPULAR,1.0,CONFEDERAL
2.0,Buenos Aires,3.0,DIPUTADOS NACIONALES,298.0,TODOS POR BUENOS AIRES,1.0,TODOS POR LA PROVINCIA
2.0,Buenos Aires,3.0,DIPUTADOS NACIONALES,312.0,FRENTE PATRIOTA,2.0,PRIMERO LA PATRIA
2.0,Buenos Aires,3.0,DIPUTADOS NACIONALES,314.0,REPUBLICANO FEDERAL,2.0,PRINCIPIOS Y VALORES
2.0,Buenos Aires,3.0,DIPUTADOS NACIONALES,315.0,MORAL Y PROGRESO,1.0,ESPERANZA
2.0,Buenos Aires,3.0,DIPUTADOS NACIONALES,317.0,VOCACION SOCIAL,2.0,UNITE POR BUENOS AIRES
2.0,Buenos Aires,3.0,DIPUTADOS NACIONALES,319.0,UNIDAD SOCIAL,1.0,UNIDOS
2.0,Buenos Aires,3.0,DIPUTADOS NACIONALES,320.0,CELESTE PROVIDA,1.0,EN CONTRA DEL ABORTO
2.0,Buenos Aires,3.0,DIPUTADOS NACIONALES,321.0,LABORISTA,1.0,BLANCA
2.0,Buenos Aires,3.0,DIPUTADOS NACIONALES,322.0,POLITICA OBRERA,1.0,UNIDAD DE LOS TRABAJADORES
2.0,Buenos Aires,7.0,CONCEJALES,8.0,FEDERAL,2.0,CELESTE Y BLANCA
2.0,Buenos Aires,7.0,CONCEJALES,503.0,AVANZA LIBERTAD,2.0,LIBERTAD
2.0,Buenos Aires,7.0,CONCEJALES,484.0,NUEVA ALTERNATIVA CARMEÑA,1.0,MAS PASION
2.0,Buenos Aires,7.0,CONCEJALES,314.0,REPUBLICANO FEDERAL,2.0,PRINCIPIOS Y VALORES
2.0,Buenos Aires,7.0,CONCEJALES,27.0,UNION CELESTE Y BLANCO,2.0,+ VALORES
2.0,Buenos Aires,7.0,CONCEJALES,106.0,HUMANISTA,3.0,NARANJA
2.0,Buenos Aires,7.0,CONCEJALES,504.0,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,2.0,UNIDAD DE LA IZQUIERDA
2.0,Buenos Aires,7.0,CONCEJALES,506.0,JUNTOS,8.0,R
2.0,Buenos Aires,7.0,CONCEJALES,312.0,FRENTE PATRIOTA,2.0,PRIMERO LA PATRIA
2.0,Buenos Aires,7.0,CONCEJALES,826.0,"MISION,ACCION COMPROMISO",1.0,"MISION,ACCION COMPROMISO"
2.0,Buenos Aires,7.0,CONCEJALES,19.0,CONSERVADOR POPULAR,1.0,UNICA
2.0,Buenos Aires,7.0,CONCEJALES,506.0,JUNTOS,2.0,B
2.0,Buenos Aires,7.0,CONCEJALES,506.0,JUNTOS,7.0,F
2.0,Buenos Aires,7.0,CONCEJALES,506.0,JUNTOS,4.0,D
2.0,Buenos Aires,7.0,CONCEJALES,504.0,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,1.0,(R)EVOLUCIONEMOS LA IZQUIERDA
2.0,Buenos Aires,7.0,CONCEJALES,864.0,MOVIMIENTO ORGANIZACION DEMOCRATICA,1.0,CREER
2.0,Buenos Aires,7.0,CONCEJALES,255.0,MOVIMIENTO AL SOCIALISMO,1.0,PARA RENOVAR A LA IZQUIERDA
2.0,Buenos Aires,7.0,CONCEJALES,27.0,UNION CELESTE Y BLANCO,1.0,ANTI CORRUPCIÓN
2.0,Buenos Aires,7.0,CONCEJALES,507.0,FRENTE DE TODOS,6.0,CELESTE Y BLANCA 4
2.0,Buenos Aires,7.0,CONCEJALES,507.0,FRENTE DE TODOS,7.0,CELESTE Y BLANCA 6
2.0,Buenos Aires,7.0,CONCEJALES,507.0,FRENTE DE TODOS,8.0,CELESTE Y BLANCA 8
2.0,Buenos Aires,7.0,CONCEJALES,507.0,FRENTE DE TODOS,4.0,CELESTE Y BLANCA 10
2.0,Buenos Aires,7.0,CONCEJALES,507.0,FRENTE DE TODOS,1.0,CELESTE 34
2.0,Buenos Aires,7.0,CONCEJALES,506.0,JUNTOS,9.0,U
